year,stock,capture,effort
1990,Loligo vulgaris,38,30180
1991,Loligo vulgaris,17,29630
1992,Loligo vulgaris,49,29218
1993,Loligo vulgaris,49,30656
1994,Loligo vulgaris,38,29210
1995,Loligo vulgaris,19,33825
1996,Loligo vulgaris,66,37071
1997,Loligo vulgaris,11,42071
1998,Loligo vulgaris,60,40770
1999,Loligo vulgaris,55,46407
2000,Loligo vulgaris,65,35079
2001,Loligo vulgaris,130,39374
2002,Loligo vulgaris,233,39279
2003,Loligo vulgaris,113,37983
2004,Loligo vulgaris,144,32168
2005,Loligo vulgaris,203,28357
2006,Loligo vulgaris,135,32836
2007,Loligo vulgaris,94,23140
2008,Loligo vulgaris,174,28111
2009,Loligo vulgaris,98,16173
2010,Loligo vulgaris,44,14951
2011,Loligo vulgaris,184,12976
2012,Loligo vulgaris,107,14700
2013,Loligo vulgaris,122,7900
2014,Loligo vulgaris,127,8123
2015,Loligo vulgaris,156,8190
2016,Loligo vulgaris,148,8071
2017,Loligo vulgaris,265,9016
2018,Loligo vulgaris,214,8614
2019,Loligo vulgaris,426,7895
2020,Loligo vulgaris,174,8220
2021,Loligo vulgaris,189,8363
