Year,Loligo vulgaris
1990,38
1991,17
1992,49
1993,49
1994,38
1995,19
1996,66
1997,11
1998,60
1999,55
2000,65
2001,130
2002,233
2003,113
2004,144
2005,203
2006,135
2007,94
2008,174
2009,98
2010,44
2011,184
2012,107
2013,122
2014,127
2015,156
2016,148
2017,265
2018,214
2019,426
2020,174
2021,189
